Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2012,"93704
(36.797684, -119.801681)",Children (0-17),87,138.7,6019,FRESNO
2012,"93066
(34.296702, -119.022172)",Children (0-17),,,6111,VENTURA
2012,"93444
(35.035889, -120.496113)",Children (0-17),22,47.2,6079,SAN LUIS OBISPO
2012,"92637
(33.609204, -117.728943)",Children (0-17),,,6059,ORANGE
2009,"93420
(35.127636, -120.48545)",Children (0-17),22,37.53395969,6079,SAN LUIS OBISPO
2012,"92692
(33.611588, -117.643685)",Children (0-17),37,36.6,6059,ORANGE
2009,"94115
(37.78557, -122.437361)",Children (0-17),34,102.4217786,6075,SAN FRANCISCO
2012,"94521
(37.957871, -121.972682)",Children (0-17),45,51.1,6013,CONTRA COSTA
2009,"94566
(37.659437, -121.867131)",Children (0-17),51,50.49871637,6001,ALAMEDA
2009,"93280
(35.617972, -119.397664)",Children (0-17),31,41.89118279,6029,KERN
2012,"94555
(37.569099, -122.051964)",Children (0-17),53,52.9,6001,ALAMEDA
2012,"92311
(34.889849, -117.02337)",Children (0-17),180,181.7,6071,SAN BERNARDINO
2012,"95132
(37.40447, -121.853161)",Children (0-17),37,39.4,6085,SANTA CLARA
2009,"92308
(34.448672, -117.17418)",Children (0-17),110,104.6376639,6071,SAN BERNARDINO
2009,"94127
(37.735395, -122.460584)",Children (0-17),18,55.23899883,6075,SAN FRANCISCO
2009,"94505
(37.896783, -121.606782)",Children (0-17),14,40.09857703,6013,CONTRA COSTA
2012,"95382
(37.525843, -120.852894)",Children (0-17),51,56.7,6099,STANISLAUS
2012,"95660
(38.676557, -121.37729)",Children (0-17),107,117.9,6067,SACRAMENTO
2012,"94579
(37.688234, -122.15302)",Children (0-17),32,72.1,6001,ALAMEDA
2009,"94587
(37.591945, -122.048438)",Children (0-17),197,103.1412157,6001,ALAMEDA
2012,"92337
(34.048403, -117.472866)",Children (0-17),61,50.1,6071,SAN BERNARDINO
2012,"93551
(34.600092, -118.192379)",Children (0-17),62,45.3,6037,LOS ANGELES
2009,"94517
(37.911752, -121.909739)",Children (0-17),13,37.18226143,6013,CONTRA COSTA
2009,"93906
(36.712109, -121.637493)",Children (0-17),172,90.23439889,6053,MONTEREY
2009,"93277
(36.306319, -119.34308)",Children (0-17),110,83.74421137,6107,TULARE
2009,"92342
(34.760439, -117.305872)",Children (0-17),,,6071,SAN BERNARDINO
2012,"92583
(33.786136, -116.946621)",Children (0-17),94,105.4,6065,RIVERSIDE
2009,"92592
(33.510528, -117.050643)",Children (0-17),66,28.0928732,6065,RIVERSIDE
2009,"92347
(34.983693, -117.242594)",Children (0-17),,,6071,SAN BERNARDINO
2012,"95138
(37.259741, -121.767125)",Children (0-17),23,38.6,6085,SANTA CLARA
2012,"92231
(32.683698, -115.515263)",Children (0-17),103,85.7,6025,IMPERIAL
2012,"93609
(36.533334, -119.850936)",Children (0-17),26,143.3,6019,FRESNO
2009,"93728
(36.757966, -119.814051)",Children (0-17),58,113.8492247,6019,FRESNO
2012,"93202
(36.309158, -119.707896)",Children (0-17),26,329.6,6031,KINGS
2012,"95658
(38.876154, -121.146865)",Children (0-17),,,6061,PLACER
2012,"95060
(37.013651, -122.084474)",Children (0-17),22,31.6,6087,SANTA CRUZ
2012,"92254
(33.533937, -115.95508)",Children (0-17),,,6065,RIVERSIDE
2009,"94931
(38.325442, -122.71081)",Children (0-17),13,65.09609258,6097,SONOMA
2009,"95425
(38.790859, -123.010876)",Children (0-17),,,6097,SONOMA
2012,"94121
(37.779036, -122.492791)",Children (0-17),25,38.9,6075,SAN FRANCISCO
2012,"95348
(37.335594, -120.500157)",Children (0-17),114,123.2,6047,MERCED
2009,"92629
(33.477429, -117.703973)",Children (0-17),23,43.80158169,6059,ORANGE
2009,"94618
(37.844532, -122.238793)",Children (0-17),,,6001,ALAMEDA
2009,"95136
(37.269741, -121.850651)",Children (0-17),48,46.84373764,6085,SANTA CLARA
2012,"93646
(36.626843, -119.303444)",Children (0-17),51,118.8,6019,FRESNO
2012,"93313
(35.221076, -119.048751)",Children (0-17),113,78.2,6029,KERN
2009,"92562
(33.559495, -117.246289)",Children (0-17),62,36.04123935,6065,RIVERSIDE
2012,"93108
(34.437926, -119.623506)",Children (0-17),,,6083,SANTA BARBARA
2009,"92257
(33.33738, -115.657469)",Children (0-17),,,6025,IMPERIAL
2012,"94523
(37.953455, -122.074721)",Children (0-17),34,51,6013,CONTRA COSTA
2009,"95320
(37.808429, -121.006059)",Children (0-17),23,66.98920967,6077,SAN JOAQUIN
2012,"92532
(33.687951, -117.30251)",Children (0-17),33,56.1,6065,RIVERSIDE
2012,"95215
(37.953574, -121.179776)",Children (0-17),35,51.4,6077,SAN JOAQUIN
2009,"94502
(37.737131, -122.243967)",Children (0-17),20,65.03355594,6001,ALAMEDA
2012,"94549
(37.899658, -122.115236)",Children (0-17),12,19,6013,CONTRA COSTA
2009,"92624
(33.458515, -117.664878)",Children (0-17),12,79.55606178,6059,ORANGE
2012,"93647
(36.566786, -119.24207)",Children (0-17),25,57.4,6107,TULARE
2012,"95758
(38.424655, -121.438065)",Children (0-17),123,72.4,6067,SACRAMENTO
2009,"94603
(37.73935, -122.174404)",Children (0-17),232,209.4237654,6001,ALAMEDA
2009,"95409
(38.458965, -122.630156)",Children (0-17),17,37.61737279,6097,SONOMA
2009,"93292
(36.363298, -119.234364)",Children (0-17),63,56.20044429,6107,TULARE
2009,"94014
(37.693765, -122.451431)",Children (0-17),85,77.9162332,6081,SAN MATEO
2009,"92832
(33.868041, -117.929787)",Children (0-17),55,78.18339857,6059,ORANGE
2009,"93021
(34.291238, -118.87573)",Children (0-17),37,31.73939432,6111,VENTURA
2009,"95340
(37.322613, -120.441471)",Children (0-17),229,208.5147985,6047,MERCED
2012,"92401
(34.105894, -117.291269)",Children (0-17),25,333,6071,SAN BERNARDINO
2009,"93631
(36.495669, -119.530549)",Children (0-17),49,106.0663104,6019,FRESNO
2012,"94568
(37.712627, -121.904985)",Children (0-17),50,44.6,6001,ALAMEDA
2009,"94589
(38.142213, -122.24692)",Children (0-17),99,126.2104887,6095,SOLANO
2012,"93656
(36.439202, -119.913414)",Children (0-17),22,95.3,6019,FRESNO
2009,"94109
(37.792737, -122.420971)",Children (0-17),25,65.36757519,6075,SAN FRANCISCO
2009,"92833
(33.877213, -117.960852)",Children (0-17),104,78.26470163,6059,ORANGE
2012,"95204
(37.973903, -121.317479)",Children (0-17),60,89.5,6077,SAN JOAQUIN
2012,"95428
(39.774565, -123.096794)",Children (0-17),,,6045,MENDOCINO
2009,"93960
(36.408938, -121.331529)",Children (0-17),22,33.30209717,6053,MONTEREY
2012,"93720
(36.85932, -119.759328)",Children (0-17),83,74.7,6019,FRESNO
2009,"93103
(34.432083, -119.685759)",Children (0-17),49,111.9998748,6083,SANTA BARBARA
2012,"93536
(34.74564, -118.356914)",Children (0-17),143,78.9,6037,LOS ANGELES
2012,"93247
(36.198934, -119.089561)",Children (0-17),62,95.4,6107,TULARE
2009,"92705
(33.758621, -117.81292)",Children (0-17),53,40.73046982,6059,ORANGE
2012,"93109
(34.404239, -119.721794)",Children (0-17),,,6083,SANTA BARBARA
2009,"93212
(36.064272, -119.550886)",Children (0-17),72,141.6689812,6031,KINGS
2012,"94061
(37.462383, -122.234589)",Children (0-17),53,58.5,6081,SAN MATEO
2009,"93534
(34.700538, -118.149832)",Children (0-17),244,202.2575735,6037,LOS ANGELES
2012,"93927
(36.271051, -121.312737)",Children (0-17),27,41.5,6053,MONTEREY
2012,"92345
(34.415572, -117.306687)",Children (0-17),196,76.6,6071,SAN BERNARDINO
2009,"94549
(37.899658, -122.115236)",Children (0-17),18,31.55669648,6013,CONTRA COSTA
2009,"93650
(36.840027, -119.80005)",Children (0-17),29,236.6710551,6019,FRESNO
2009,"93725
(36.64553, -119.740427)",Children (0-17),89,114.249946,6019,FRESNO
2012,"94578
(37.703962, -122.126643)",Children (0-17),92,93.4,6001,ALAMEDA
2009,"93933
(36.675218, -121.790758)",Children (0-17),46,87.31915976,6053,MONTEREY
2012,"95112
(37.346161, -121.885603)",Children (0-17),76,73.3,6085,SANTA CLARA
2012,"93711
(36.830703, -119.832932)",Children (0-17),77,102.1,6019,FRESNO
2012,"95003
(36.987656, -121.88595)",Children (0-17),16,37.1,6087,SANTA CRUZ
2012,"93610
(37.087779, -120.288598)",Children (0-17),68,126.5,6039,MADERA
2009,"93560
(34.8718, -118.299673)",Children (0-17),58,112.6012817,6029,KERN
2012,"93003
(34.271122, -119.222286)",Children (0-17),60,57.3,6111,VENTURA
2012,"93230
(36.316101, -119.633421)",Children (0-17),317,153.8,6031,KINGS
2009,"95005
(37.090149, -122.091675)",Children (0-17),,,6087,SANTA CRUZ
2012,"93654
(36.624907, -119.425139)",Children (0-17),82,87.2,6019,FRESNO
2009,"93619
(36.882291, -119.619626)",Children (0-17),40,46.60049314,6019,FRESNO
2012,"94533
(38.27114, -122.026467)",Children (0-17),208,111.2,6095,SOLANO
2009,"94040
(37.380378, -122.084788)",Children (0-17),17,27.6075102,6085,SANTA CLARA
2012,"94566
(37.659437, -121.867131)",Children (0-17),30,28.6,6001,ALAMEDA
2009,"94559
(38.281163, -122.294975)",Children (0-17),31,46.98177771,6055,NAPA
2009,"93656
(36.439202, -119.913414)",Children (0-17),35,162.5367675,6019,FRESNO
2012,"92603
(33.631368, -117.798592)",Children (0-17),12,24.9,6059,ORANGE
2012,"93933
(36.675218, -121.790758)",Children (0-17),42,79.8,6053,MONTEREY
2012,"93908
(36.611316, -121.66841)",Children (0-17),,,6053,MONTEREY
2012,"92316
(34.062941, -117.39575)",Children (0-17),96,95.9,6071,SAN BERNARDINO
2009,"95619
(38.685189, -120.813263)",Children (0-17),,,6017,EL DORADO
2012,"95485
(39.20336, -122.912221)",Children (0-17),,,6033,LAKE
2009,"94114
(37.758161, -122.436326)",Children (0-17),,,6075,SAN FRANCISCO
2012,"95117
(37.310388, -121.962229)",Children (0-17),43,63.3,6085,SANTA CLARA
2012,"95111
(37.283205, -121.827219)",Children (0-17),85,49,6085,SANTA CLARA
2012,"94507
(37.855493, -122.013647)",Children (0-17),15,41.8,6013,CONTRA COSTA
2009,"94544
(37.634142, -122.064979)",Children (0-17),305,140.1951351,6001,ALAMEDA
2012,"93453
(35.291193, -120.08933)",Children (0-17),,,6079,SAN LUIS OBISPO
2012,"95670
(38.603182, -121.278912)",Children (0-17),96,72.3,6067,SACRAMENTO
2009,"93035
(34.183914, -119.220419)",Children (0-17),47,69.24732585,6111,VENTURA
2009,"93616
(36.657088, -119.592868)",Children (0-17),,,6019,FRESNO
2009,"94131
(37.743863, -122.441007)",Children (0-17),16,41.60407237,6075,SAN FRANCISCO
2012,"94089
(37.405408, -122.010817)",Children (0-17),20,48.1,6085,SANTA CLARA
2009,"92679
(33.630348, -117.58535)",Children (0-17),25,20.32136681,6059,ORANGE
2009,"94521
(37.957871, -121.972682)",Children (0-17),62,63.05117954,6013,CONTRA COSTA
2012,"94580
(37.678849, -122.131241)",Children (0-17),43,65.5,6001,ALAMEDA
2012,"93727
(36.750318, -119.699087)",Children (0-17),284,121.2,6019,FRESNO
2012,"93635
(37.022284, -120.908089)",Children (0-17),170,128.9,6047,MERCED
2012,"92832
(33.868041, -117.929787)",Children (0-17),44,69.9,6059,ORANGE
2009,"93219
(35.884341, -119.321088)",Children (0-17),43,83.92871954,6107,TULARE
2012,"93405
(35.273127, -120.721971)",Children (0-17),14,66.2,6079,SAN LUIS OBISPO
2012,"92548
(33.755446, -117.111225)",Children (0-17),,,6065,RIVERSIDE
2012,"93527
(35.690512, -117.854366)",Children (0-17),,,6029,KERN
2012,"93616
(36.657088, -119.592868)",Children (0-17),,,6019,FRESNO
2012,"94085
(37.388509, -122.01556)",Children (0-17),24,49.2,6085,SANTA CLARA
2012,"93701
(36.749735, -119.787908)",Children (0-17),103,206.2,6019,FRESNO
2012,"95614
(38.892474, -120.98193)",Children (0-17),,,6017,EL DORADO
2009,"93546
(37.637134, -118.892055)",Children (0-17),,,6051,MONO
2012,"94708
(37.895173, -122.260817)",Children (0-17),,,6001,ALAMEDA
2012,"93463
(34.610528, -120.131697)",Children (0-17),,,6083,SANTA BARBARA
2009,"93955
(36.622307, -121.82792)",Children (0-17),90,93.21524631,6053,MONTEREY
2009,"92130
(32.94833, -117.21244)",Children (0-17),49,37.12538811,6073,SAN DIEGO
2012,"93924
(36.435015, -121.675695)",Children (0-17),,,6053,MONTEREY
2012,"94062
(37.428476, -122.276859)",Children (0-17),18,32.8,6081,SAN MATEO
2009,"95046
(37.088258, -121.602016)",Children (0-17),,,6085,SANTA CLARA
2012,"92241
(33.889372, -116.375195)",Children (0-17),,,6065,RIVERSIDE
2012,"92806
(33.83858, -117.873139)",Children (0-17),89,93.8,6059,ORANGE
2009,"95334
(37.368723, -120.733541)",Children (0-17),26,44.97138202,6047,MERCED
2009,"93463
(34.610528, -120.131697)",Children (0-17),,,6083,SANTA BARBARA
2009,"93675
(36.712274, -119.181181)",Children (0-17),,,6019,FRESNO
2009,"94404
(37.554952, -122.269646)",Children (0-17),22,34.54906855,6081,SAN MATEO
2012,"95116
(37.351106, -121.852029)",Children (0-17),99,64.1,6085,SANTA CLARA
2009,"92401
(34.105894, -117.291269)",Children (0-17),29,408.6681378,6071,SAN BERNARDINO
2012,"95050
(37.348906, -121.953709)",Children (0-17),27,34.1,6085,SANTA CLARA
2012,"95125
(37.29501, -121.894153)",Children (0-17),37,30.8,6085,SANTA CLARA
2012,"94601
(37.777592, -122.218202)",Children (0-17),138,97.4,6001,ALAMEDA
2012,"92691
(33.610816, -117.666482)",Children (0-17),42,41.9,6059,ORANGE
2012,"92701
(33.748307, -117.859121)",Children (0-17),150,81.4,6059,ORANGE
2012,"93272
(36.050903, -119.322401)",Children (0-17),,,6107,TULARE
2012,"94114
(37.758161, -122.436326)",Children (0-17),,,6075,SAN FRANCISCO
2009,"92555
(33.917934, -117.158886)",Children (0-17),90,93.89560075,6065,RIVERSIDE
2009,"93535
(34.709166, -117.924621)",Children (0-17),370,165.4659446,6037,LOS ANGELES
2009,"93610
(37.087779, -120.288598)",Children (0-17),49,95.34953995,6039,MADERA
2009,"93433
(35.120533, -120.618864)",Children (0-17),20,65.03531402,6079,SAN LUIS OBISPO
2012,"92544
(33.66574, -116.910548)",Children (0-17),91,72.6,6065,RIVERSIDE
2009,"92201
(33.711551, -116.236141)",Children (0-17),131,57.51112042,6065,RIVERSIDE
2012,"95076
(36.937136, -121.765301)",Children (0-17),275,109.6,6087,SANTA CRUZ
2012,"94131
(37.743863, -122.441007)",Children (0-17),15,34.3,6075,SAN FRANCISCO
2012,"92536
(33.487606, -116.81454)",Children (0-17),,,6065,RIVERSIDE
2012,"95464
(39.118267, -122.826973)",Children (0-17),,,6033,LAKE
2009,"93635
(37.022284, -120.908089)",Children (0-17),146,108.7313945,6047,MERCED
2009,"94547
(38.008637, -122.264713)",Children (0-17),45,95.54396205,6013,CONTRA COSTA
2012,"93675
(36.712274, -119.181181)",Children (0-17),,,6019,FRESNO
2012,"93060
(34.362727, -119.088968)",Children (0-17),58,60.4,6111,VENTURA
2012,"92629
(33.477429, -117.703973)",Children (0-17),14,32.1,6059,ORANGE
2009,"92411
(34.123752, -117.320304)",Children (0-17),154,162.4675385,6071,SAN BERNARDINO
2012,"92234
(33.813355, -116.46506)",Children (0-17),92,68.1,6065,RIVERSIDE
2012,"93458
(34.953234, -120.457884)",Children (0-17),146,75.9,6083,SANTA BARBARA
2009,"93455
(34.86075, -120.416107)",Children (0-17),46,50.60578234,6083,SANTA BARBARA
2009,"92508
(33.89244, -117.322884)",Children (0-17),55,54.35812242,6065,RIVERSIDE
2012,"93263
(35.492424, -119.290284)",Children (0-17),37,51.5,6029,KERN
2012,"93901
(36.664932, -121.651931)",Children (0-17),78,117.1,6053,MONTEREY
2012,"94303
(37.450262, -122.127263)",Children (0-17),123,89.3,6085,SANTA CLARA
2009,"93654
(36.624907, -119.425139)",Children (0-17),84,88.09698796,6019,FRESNO
2012,"93648
(36.615466, -119.525823)",Children (0-17),92,157.6,6019,FRESNO
2012,"94105
(37.788667, -122.394444)",Children (0-17),,,6075,SAN FRANCISCO
2009,"92251
(32.856371, -115.586888)",Children (0-17),90,162.3939458,6025,IMPERIAL
2009,"94536
(37.562619, -121.998912)",Children (0-17),154,91.86938692,6001,ALAMEDA
2009,"94563
(37.878896, -122.181998)",Children (0-17),,,6013,CONTRA COSTA
2012,"95340
(37.322613, -120.441471)",Children (0-17),197,215.8,6047,MERCED
2009,"94606
(37.792676, -122.243983)",Children (0-17),135,129.3923295,6001,ALAMEDA
2009,"92407
(34.225469, -117.323496)",Children (0-17),186,93.60476814,6071,SAN BERNARDINO
2009,"92231
(32.683698, -115.515263)",Children (0-17),135,115.9927823,6025,IMPERIAL
2009,"93660
(36.596174, -120.179209)",Children (0-17),18,82.31855619,6019,FRESNO
2009,"94134
(37.720238, -122.409289)",Children (0-17),103,107.3726069,6075,SAN FRANCISCO
2009,"95624
(38.427382, -121.347323)",Children (0-17),120,73.68726026,6067,SACRAMENTO
2012,"95219
(38.020332, -121.422765)",Children (0-17),31,43.8,6077,SAN JOAQUIN
2009,"94591
(38.107585, -122.209634)",Children (0-17),146,104.4561702,6095,SOLANO
2009,"92708
(33.709733, -117.952983)",Children (0-17),46,36.4408987,6059,ORANGE
2012,"94124
(37.732716, -122.388738)",Children (0-17),98,115.8,6075,SAN FRANCISCO
2012,"93241
(35.257189, -118.914501)",Children (0-17),43,65.2,6029,KERN
2009,"94583
(37.755754, -121.963415)",Children (0-17),51,58.21068873,6013,CONTRA COSTA
2012,"93638
(37.008645, -120.04833)",Children (0-17),333,186.9,6039,MADERA
2009,"95694
(38.543791, -121.963641)",Children (0-17),12,45.57295561,6113,YOLO
2012,"95776
(38.683905, -121.730249)",Children (0-17),39,54.5,6113,YOLO
2012,"93907
(36.771091, -121.664391)",Children (0-17),55,94.4,6053,MONTEREY
2012,"93543
(34.52399, -117.93936)",Children (0-17),26,74.5,6037,LOS ANGELES
2012,"94587
(37.591945, -122.048438)",Children (0-17),157,92.1,6001,ALAMEDA
2012,"94063
(37.486352, -122.214854)",Children (0-17),87,101.9,6081,SAN MATEO
2009,"94531
(37.967667, -121.775744)",Children (0-17),121,86.34946412,6013,CONTRA COSTA
2012,"92604
(33.688992, -117.787794)",Children (0-17),28,50.8,6059,ORANGE
2009,"92376
(34.111411, -117.376892)",Children (0-17),308,103.0679905,6071,SAN BERNARDINO
2009,"93422
(35.475579, -120.679205)",Children (0-17),22,32.60540693,6079,SAN LUIS OBISPO
2009,"94564
(37.996364, -122.289893)",Children (0-17),36,90.67435906,6013,CONTRA COSTA
2012,"93650
(36.840027, -119.80005)",Children (0-17),29,271.4,6019,FRESNO
2009,"94005
(37.687135, -122.405864)",Children (0-17),,,6081,SAN MATEO
2012,"93204
(35.93822, -120.066413)",Children (0-17),21,56.2,6031,KINGS
2012,"94133
(37.801827, -122.411027)",Children (0-17),12,46,6075,SAN FRANCISCO
2009,"93611
(36.825049, -119.68081)",Children (0-17),86,67.26621075,6019,FRESNO
2012,"94115
(37.78557, -122.437361)",Children (0-17),35,82.8,6075,SAN FRANCISCO
2009,"93901
(36.664932, -121.651931)",Children (0-17),77,119.5885724,6053,MONTEREY
2009,"92405
(34.143159, -117.299602)",Children (0-17),157,160.2277825,6071,SAN BERNARDINO
2009,"95363
(37.486753, -121.18492)",Children (0-17),48,50.05397004,6099,STANISLAUS
2009,"92841
(33.78727, -117.978971)",Children (0-17),51,59.31463691,6059,ORANGE
2009,"94579
(37.688234, -122.15302)",Children (0-17),40,84.28753644,6001,ALAMEDA
2009,"92882
(33.861105, -117.595417)",Children (0-17),93,39.82611877,6065,RIVERSIDE
2009,"94303
(37.450262, -122.127263)",Children (0-17),134,92.01394197,6085,SANTA CLARA
2009,"95060
(37.013651, -122.084474)",Children (0-17),27,34.46992179,6087,SANTA CRUZ
2012,"94588
(37.694621, -121.892391)",Children (0-17),43,54.4,6001,ALAMEDA
2009,"92845
(33.78303, -118.026739)",Children (0-17),,,6059,ORANGE
2012,"93552
(34.57381, -118.028346)",Children (0-17),113,88.1,6037,LOS ANGELES
2009,"95112
(37.346161, -121.885603)",Children (0-17),67,47.1955819,6085,SANTA CLARA
2009,"95126
(37.327651, -121.917248)",Children (0-17),45,61.00749454,6085,SANTA CLARA
